STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00420072,ALTA UT US,19660208,-9999,-9999,-9999,-9999,0.11,81.0,2.0,19,7,8,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660209,-9999,-9999,-9999,-9999,0.08,80.0,2.0,9,0,8,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660210,-9999,-9999,-9999,-9999,0.89,94.0,17.0,19,8,9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660211,-9999,-9999,-9999,-9999,0.14,89.0,2.0,19,-2,13,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660212,-9999,-9999,-9999,-9999,0.00,85.0,0.0,20,7,7,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660213,-9999,-9999,-9999,-9999,0.56,89.0,7.0,8,-2,4,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660214,-9999,-9999,-9999,-9999,0.37,90.0,5.0,10,3,9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660215,-9999,-9999,-9999,-9999,0.77,98.0,12.0,9,1,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660216,-9999,-9999,-9999,-9999,0.43,94.0,5.0,14,-5,13,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660217,-9999,-9999,-9999,-9999,0.23,97.0,6.0,21,12,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660218,-9999,-9999,-9999,-9999,0.12,93.0,1.0,32,14,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660219,-9999,-9999,-9999,-9999,0.00,90.0,0.0,32,18,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660220,-9999,-9999,-9999,-9999,0.04,89.0,2.0,28,14,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660221,-9999,-9999,-9999,-9999,0.15,88.0,2.0,30,11,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660222,-9999,-9999,-9999,-9999,0.00,86.0,0.0,36,12,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660223,-9999,-9999,-9999,-9999,0.00,84.0,0.0,41,14,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660224,-9999,-9999,-9999,-9999,0.00,83.0,0.0,30,11,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660225,-9999,-9999,-9999,-9999,0.00,81.0,0.0,30,15,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660226,-9999,-9999,-9999,-9999,0.06,81.0,1.0,25,14,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660227,-9999,-9999,-9999,-9999,0.24,86.0,6.0,20,12,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660228,-9999,-9999,-9999,-9999,0.01,84.0,1.0,35,10,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660301,-9999,-9999,-9999,-9999,0.15,8.0,0.8,30,20,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660302,-9999,-9999,-9999,-9999,0.25,11.0,1.5,20,4,4,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660303,-9999,-9999,-9999,-9999,0.08,11.0,0.8,4,0,2,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660304,-9999,-9999,-9999,-9999,0.04,10.0,0.4,12,-6,12,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660305,-9999,-9999,-9999,-9999,0.00,10.0,0.0,33,0,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660306,-9999,-9999,-9999,-9999,0.00,10.0,0.0,42,18,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660307,-9999,-9999,-9999,-9999,0.00,10.0,0.0,35,30,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660308,-9999,-9999,-9999,-9999,0.00,9.0,0.0,38,24,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660309,-9999,-9999,-9999,-9999,0.01,9.0,0.5,41,28,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660310,-9999,-9999,-9999,-9999,0.00,9.0,0.0,38,27,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660311,-9999,-9999,-9999,-9999,0.03,9.0,0.3,43,14,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660312,-9999,-9999,-9999,-9999,0.00,8.0,0.0,53,21,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660313,-9999,-9999,-9999,-9999,0.00,8.0,0.0,46,28,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660314,-9999,-9999,-9999,-9999,0.01,8.0,0.3,47,29,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660315,-9999,-9999,-9999,-9999,0.00,8.0,0.0,43,29,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660316,-9999,-9999,-9999,-9999,0.00,7.0,0.0,42,23,23,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660317,-9999,-9999,-9999,-9999,0.08,8.0,0.7,26,8,12,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660318,-9999,-9999,-9999,-9999,0.45,8.0,0.2,43,9,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660319,-9999,-9999,-9999,-9999,0.00,8.0,0.0,40,30,31,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660320,-9999,-9999,-9999,-9999,0.00,8.0,0.0,39,23,29,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660321,-9999,-9999,-9999,-9999,0.00,8.0,0.0,29,10,10,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660322,-9999,-9999,-9999,-9999,0.13,9.0,0.8,25,5,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660323,-9999,-9999,-9999,-9999,0.01,8.0,0.5,40,8,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660324,-9999,-9999,-9999,-9999,0.00,8.0,0.0,48,22,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660325,-9999,-9999,-9999,-9999,0.00,8.0,0.0,46,26,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660326,-9999,-9999,-9999,-9999,0.00,8.0,0.0,50,28,44,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660327,-9999,-9999,-9999,-9999,0.00,7.0,0.0,48,29,44,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660328,-9999,-9999,-9999,-9999,0.00,7.0,0.0,49,29,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660329,-9999,-9999,-9999,-9999,0.00,7.0,0.0,51,32,47,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660330,-9999,-9999,-9999,-9999,0.00,7.0,0.0,56,32,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660331,-9999,-9999,-9999,-9999,0.00,6.0,0.0,53,35,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660401,-9999,-9999,-9999,-9999,0.00,6.0,0.0,54,34,48,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660402,-9999,-9999,-9999,-9999,0.00,6.0,0.0,50,34,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660403,-9999,-9999,-9999,-9999,0.00,6.0,0.0,37,18,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660404,-9999,-9999,-9999,-9999,0.01,5.0,0.0,31,13,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660405,-9999,-9999,-9999,-9999,0.00,5.0,0.0,48,19,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660406,-9999,-9999,-9999,-9999,0.00,5.0,0.0,49,29,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660407,-9999,-9999,-9999,-9999,0.00,5.0,0.0,51,33,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660408,-9999,-9999,-9999,-9999,0.00,5.0,0.0,53,34,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660409,-9999,-9999,-9999,-9999,0.00,5.0,0.0,51,38,47,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660410,-9999,-9999,-9999,-9999,0.00,5.0,0.0,48,30,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660411,-9999,-9999,-9999,-9999,0.98,5.0,6.0,37,24,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660412,-9999,-9999,-9999,-9999,0.16,5.0,2.0,39,20,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660413,-9999,-9999,-9999,-9999,0.00,5.0,0.0,39,23,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660414,-9999,-9999,-9999,-9999,0.00,5.0,0.0,46,22,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660415,-9999,-9999,-9999,-9999,0.00,5.0,0.0,51,33,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660416,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660417,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660418,-9999,-9999,-9999,-9999,0.64,5.0,6.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660419,-9999,-9999,-9999,-9999,0.69,6.0,11.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660420,-9999,-9999,-9999,-9999,0.37,6.0,5.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660421,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660422,-9999,-9999,-9999,-9999,0.18,5.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660423,-9999,-9999,-9999,-9999,0.13,5.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660424,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660425,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660426,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660427,-9999,-9999,-9999,-9999,0.04,4.0,2.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660428,-9999,-9999,-9999,-9999,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660429,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660430,-9999,-9999,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661016,-9999,-9999,-9999,-9999,0.00,0.0,0.0,39,19,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661017,-9999,-9999,-9999,-9999,0.00,0.0,0.0,38,21,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661018,-9999,-9999,-9999,-9999,0.00,0.0,0.0,38,20,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661019,-9999,-9999,-9999,-9999,0.00,0.0,0.0,52,27,47,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661020,-9999,-9999,-9999,-9999,0.00,0.0,0.0,48,39,44,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661021,-9999,-9999,-9999,-9999,0.07,0.0,1.0,43,18,23,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661022,-9999,-9999,-9999,-9999,0.00,0.0,0.0,38,20,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661023,-9999,-9999,-9999,-9999,0.07,0.0,1.0,44,27,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661024,-9999,-9999,-9999,-9999,0.00,0.0,0.0,53,30,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661025,-9999,-9999,-9999,-9999,0.00,0.0,0.0,61,38,52,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661026,-9999,-9999,-9999,-9999,0.00,0.0,0.0,58,38,51,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661027,-9999,-9999,-9999,-9999,0.00,0.0,0.0,58,37,49,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661028,-9999,-9999,-9999,-9999,0.00,0.0,0.0,57,37,48,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661029,-9999,-9999,-9999,-9999,0.00,0.0,0.0,54,36,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661030,-9999,-9999,-9999,-9999,0.00,0.0,0.0,52,34,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661031,-9999,-9999,-9999,-9999,0.00,0.0,0.0,47,34,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661101,-9999,-9999,-9999,-9999,0.00,0.0,0.0,47,30,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661102,-9999,-9999,-9999,-9999,0.00,0.0,0.0,51,33,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661103,-9999,-9999,-9999,-9999,0.00,0.0,0.0,48,33,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661104,-9999,-9999,-9999,-9999,0.00,0.0,0.0,42,27,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661105,-9999,-9999,-9999,-9999,0.00,0.0,0.0,48,27,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661106,-9999,-9999,-9999,-9999,0.00,0.0,0.0,43,33,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661107,-9999,-9999,-9999,-9999,1.20,13.0,13.0,37,29,29,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00420072,ALTA UT US,19661108,-9999,-9999,-9999,-9999,1.68,28.0,18.0,30,15,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19661109,-9999,-9999,-9999,-9999,0.00,25.0,0.0,23,4,19,-9999,-9999,-9999,-9999,-9999,-9999
